id,source,text,arguments
107,REPLACE,"This G:C base pair is also the strongest determinant in inactivation of the MEF2C gene leading to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5 (Lagrange et al., 1998).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
108,REPLACE,"This G:C base pair is also the strongest determinant in two frameshifts and a splice site mutation, which led to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations (Lagrange et al., 1998).","{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
109,REPLACE,This splice mutation in 5 end of intron 5 can lead to abnormal splice in exon 5 and exon 6.,"{'0': 'This splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
110,REPLACE,"This splice mutation in 5 end of intron 5 is leading to abnormal splice in exon 5 and exon 6, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'This splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
111,REPLACE,This splice mutation in 5 end of intron 5 was caused by This that leads to abnormal splice in exon 5 and exon 6.,"{'0': 'This splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
112,REPLACE,"This was caused by Disruption of the SNU246 gene in yeast which can lead to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
113,REPLACE,"This was caused by G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 that leads to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
114,REPLACE,"This was caused by G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 which can lead to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
115,REPLACE,"This was caused by G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 which can lead to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
116,REPLACE,"This was caused by G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 which has led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
117,REPLACE,This was caused by This splice mutation in 5 end of intron 5 that leads to abnormal splice in exon 5 and exon 6.,"{'0': 'This splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
118,REPLACE,"This was caused by a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele, which leads to a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein.","{'0': 'a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele', '1': 'a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein'}"
119,REPLACE,"This was caused by a complex splice site mutation which can lead to an abnormal JAG1 mRNA, resulting in a premature stop codon.","{'0': 'a complex splice site mutation', '1': 'an abnormal JAG1 mRNA, resulting in a premature stop codon'}"
120,REPLACE,"This was caused by inactivation of the MEF2C gene leading to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5.","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
121,REPLACE,"This was caused by the distinct amino termini, which leads to the targeting of individual VDAC isoforms to different cellular compartments.","{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
122,REPLACE,"a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele G:C base pair is also the strongest determinant in This, which led to a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein (Lagrange et al., 1998).","{'0': 'a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele', '1': 'a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein'}"
123,REPLACE,a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele has led us to a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein.,"{'0': 'a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele', '1': 'a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein'}"
124,REPLACE,"a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele, in turn, led to a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein independently of the DNA-binding activity of MEF2.","{'0': 'a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele', '1': 'a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein'}"
125,REPLACE,"a complex splice site mutation leads us to an abnormal JAG1 mRNA, resulting in a premature stop codon.","{'0': 'a complex splice site mutation', '1': 'an abnormal JAG1 mRNA, resulting in a premature stop codon'}"
126,REPLACE,"a complex splice site mutation led to an abnormal JAG1 mRNA, resulting in a premature stop codon (Figure 3A).","{'0': 'a complex splice site mutation', '1': 'an abnormal JAG1 mRNA, resulting in a premature stop codon'}"
127,REPLACE,"a complex splice site mutation led to an abnormal JAG1 mRNA, resulting in a premature stop codon (Figure 3A).","{'0': 'a complex splice site mutation', '1': 'an abnormal JAG1 mRNA, resulting in a premature stop codon'}"
128,REPLACE,"a complex splice site mutation, in turn, has led to an abnormal JAG1 mRNA, resulting in a premature stop codon independently of the DNA-binding activity of MEF2.","{'0': 'a complex splice site mutation', '1': 'an abnormal JAG1 mRNA, resulting in a premature stop codon'}"
129,REPLACE,a point mutation at the 5 splicing site of the third intron may lead to ligation of the second to the fourth exon.,"{'0': 'a point mutation at the 5 splicing site of the third intron', '1': 'ligation of the second to the fourth exon'}"
130,REPLACE,"a point mutation at the 5 splicing site of the third intron, in turn, has led to ligation of the second to the fourth exon independently of the DNA-binding activity of MEF2.","{'0': 'a point mutation at the 5 splicing site of the third intron', '1': 'ligation of the second to the fourth exon'}"
131,REPLACE,"a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S) was led to by G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14.","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
132,REPLACE,abnormal splice in exon 5 and exon 6 is led to by This splice mutation in 5 end of intron 5.,"{'0': 'This splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
133,REPLACE,"inactivation of the MEF2C gene G:C base pair is also the strongest determinant in This which leads to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5 (Lagrange et al., 1998).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
134,REPLACE,"inactivation of the MEF2C gene is leading to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5.","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
135,REPLACE,"inactivation of the MEF2C gene led to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
136,REPLACE,"inactivation of the MEF2C gene may lead to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5 (Figure 3A).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
137,REPLACE,"inactivation of the MEF2C gene, in turn, has led to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5 independently of the DNA-binding activity of MEF2.","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
138,REPLACE,"the distinct amino termini G:C base pair is also the strongest determinant in This, which led to the targeting of individual VDAC isoforms to different cellular compartments (Lagrange et al., 1998).","{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
139,REPLACE,"the distinct amino termini G:C base pair is also the strongest determinant in This, which led to the targeting of individual VDAC isoforms to different cellular compartments (Lagrange et al., 1998).","{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
140,REPLACE,two frameshifts and a splice site mutation has led us to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations.,"{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
141,REPLACE,two frameshifts and a splice site mutation is able to lead to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations (Figure 3A).,"{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
142,REPLACE,two frameshifts and a splice site mutation leads to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations (Figure 3A).,"{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
143,REPLACE,two frameshifts and a splice site mutation was caused by This leading to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations.,"{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
144,REPLACE,two frameshifts and a splice site mutation was caused by This that led to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations.,"{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
